ncessch,school_name,latitude,longitude,enrollment,teachers_fte,school_level,school_type,student_teacher_ratio,norm_enrollment,norm_student_teacher_ratio
60001409074,Joshua Circle Elementary,34.43488,-117.316527,648.0,27.0,1,1,24.0,0.04323421316404945,0.0596252129471891
60001409075,Juniper Elementary,34.4221,-117.2819,676.0,29.0,1,1,23.310344827586206,0.045105245573003674,0.05786289138224755
60001409076,Eucalyptus Elementary,34.454719,-117.318821,698.0,28.0,1,1,24.928571428571427,0.04657534246575343,0.06199805305427111
60001409077,Hesperia Junior High,34.436245,-117.325268,1116.0,49.0,2,1,22.775510204081634,0.07450718342799867,0.056496193025762274
60001409078,Mesa Grande Elementary,34.418268,-117.308349,595.0,28.0,1,1,21.25,0.03969261610424324,0.052597955706984674
60001409079,Kingston Elementary,34.3868,-117.2741,741.0,30.0,1,1,24.7,0.049448713665218844,0.06141396933560478
60001409080,Maple Elementary,34.4431,-117.3479,868.0,35.0,1,1,24.8,0.057935182091546945,0.0616695059625213
60001409081,Cottonwood Elementary,34.411484,-117.339014,851.0,37.0,1,1,23.0,0.056799198128967596,0.05706984667802385
60001409082,Lime Street Elementary,34.4054,-117.2946,874.0,35.0,1,1,24.97142857142857,0.058336117607751425,0.062107568751521056
60001409476,Hollyvale Elementary,34.4621,-117.3855,371.0,13.0,1,1,28.53846153846154,0.024724356832609422,0.07122264447647754
60001409477,Carmel Elementary,34.4216,-117.2411,796.0,30.0,1,1,26.533333333333335,0.05312395589709322,0.06609880749574107
60001409676,Ranchero Middle,34.3826,-117.2783,1118.0,51.0,2,1,21.92156862745098,0.07464082860006682,0.05431405952500251
60001411119,Cypress School of the Arts,34.439201,-117.324072,748.0,31.0,1,1,24.129032258064516,0.0499164717674574,0.059954937627081394
60001412100,Canyon Ridge High,34.4128,-117.3827,226.0,12.0,3,4,18.833333333333332,0.01503508185766789,0.046422487223168656
60001412103,Cedar Middle,34.4043,-117.3659,1018.0,45.0,2,1,22.622222222222224,0.06795856999665888,0.05610448608745032
60001412171,Mission Crest Elementary,34.4115,-117.3783,856.0,35.0,1,1,24.457142857142856,0.05713331105913799,0.060793380384521783
60001412415,Krystal School of Science Math & Technology,34.3795,-117.2883,858.0,34.0,1,1,25.235294117647058,0.05726695623120615,0.06278184186792264
60001412417,Oak Hills High,34.389,-117.3841,2458.0,106.0,3,1,23.18867924528302,0.16418309388573338,0.05755199125711164
60001503907,Mountain View High,34.41026,-116.907602,9.0,1.0,3,4,9.0,0.0005345806882726361,0.021294718909710394
60001509083,Lucerne Valley Elementary,34.4483,-116.946767,587.0,29.0,1,1,20.24137931034483,0.0391580354159706,0.050020560418257656
60001509084,Lucerne Valley Middle,34.457682,-116.938836,142.0,10.0,2,1,14.2,0.009421984630805211,0.03458262350936968
60001510305,Lucerne Valley High,34.457682,-116.938836,242.0,16.0,3,1,15.125,0.016104243234213163,0.03694633730834753
60001609085,Hillside High,34.095762,-117.680049,135.0,11.0,3,4,12.272727272727273,0.008954226528566655,0.029657735790614842
60001609086,Upland High,34.1045,-117.6581,3251.0,130.0,3,1,25.00769230769231,0.21717340461075843,0.06220023587996332
60001609087,Baldy View Elementary,34.104,-117.6654,539.0,21.0,1,1,25.666666666666668,0.035950551286334786,0.06388415672913118
60001609088,Cabrillo Elementary,34.1025,-117.6799,547.0,22.0,1,1,24.863636363636363,0.03648513197460742,0.061832120179649994
60001609089,Citrus Elementary,34.0896,-117.664,579.0,23.0,1,1,25.17391304347826,0.038623454727697966,0.06262499074142656
60001609090,Foothill Knolls Academy of Innovation,34.1096,-117.6352,584.0,24.0,1,1,24.333333333333332,0.03895756765786836,0.06047700170357751
60001609091,Magnolia Elementary,34.1188,-117.6569,506.0,22.0,1,1,23.0,0.03374540594721016,0.05706984667802385
60001609092,Pioneer Junior High,34.1295,-117.6548,709.0,33.0,2,1,21.484848484848484,0.047310390912128304,0.053198079603531054
60001609093,Sierra Vista Elementary,34.1153,-117.6478,407.0,14.0,1,1,29.071428571428573,0.027129969929836285,0.07258457045509857
60001609094,Sycamore Elementary,34.1113,-117.6669,434.0,16.0,1,1,27.125,0.02893417975275643,0.0676107325383305
60001609095,Upland Elementary,34.100994,-117.64478,434.0,19.0,1,1,22.842105263157894,0.02893417975275643,0.05666636779341881
60001609096,Upland Junior High,34.1028,-117.6451,700.0,30.0,2,1,23.333333333333332,0.04670898763782159,0.05792163543441227
60001609097,Valencia Elementary,34.144,-117.6576,583.0,22.0,1,1,26.5,0.038890745071834286,0.06601362862010222
60001609678,Pepper Tree Elementary,34.1297,-117.6671,778.0,29.0,1,1,26.82758620689655,0.051921149348479786,0.06685073136344946
60001701149,Rio Vista School of Applied Learning,34.4987,-117.2514,975.0,39.0,1,1,25.0,0.06508519879719345,0.06218057921635435
60001705167,Sycamore Rocks Elementary,34.5522,-117.1517,710.0,30.0,1,1,23.666666666666668,0.04737721349816238,0.05877342419080069
60001708297,Granite Hills High,34.5089,-117.1653,1805.0,74.0,3,1,24.39189189189189,0.12054794520547946,0.060626640268889
60001708588,High Desert Premier Academy,34.486772,-117.185136,233.0,10.0,4,4,23.3,0.015502839959906447,0.05783645655877343
60001709098,Apple Valley High,34.4667,-117.189,2178.0,88.0,3,1,24.75,0.14547276979619111,0.06154173764906304
60001709100,Mariana Academy,34.4442,-117.1872,673.0,28.0,1,1,24.035714285714285,0.04490477781490144,0.059716476028230714
60001709101,Rancho Verde Elementary,34.5122,-117.1806,676.0,29.0,1,1,23.310344827586206,0.045105245573003674,0.05786289138224755
60001709102,Yucca Loma Elementary,34.4998,-117.1974,615.0,26.0,1,1,23.653846153846153,0.041029067824924825,0.058740663084785746
60001709103,Desert Knolls Elementary,34.5286,-117.2676,778.0,30.0,1,1,25.933333333333334,0.051921149348479786,0.06456558773424191
60001709272,Sandia Elementary,34.4635,-117.1976,828.0,36.0,1,1,23.0,0.055262278650183766,0.05706984667802385
60001711122,Vanguard Preparatory,34.4873,-117.1634,1151.0,45.0,1,1,25.57777777777778,0.07684597393919144,0.06365701306076094
60001711747,Sitting Bull Academy,34.4848,-117.2375,1538.0,67.0,1,1,22.955223880597014,0.10270631473438022,0.05695542729283735
60001712663,Phoenix Academy,34.532017,-117.2132,1121.0,52.0,1,1,21.557692307692307,0.07484129635816907,0.053384222251343205
60001809106,Valley High,40.553344,-123.186166,4.0,1.0,3,4,4.0,0.00020046775810223855,0.008517887563884158
60001809107,Hayfork High,40.551092,-123.171146,84.0,6.0,3,1,14.0,0.005546274640828601,0.034071550255536626
60001809108,Hayfork Elementary,40.553344,-123.186166,216.0,12.0,1,1,18.0,0.014366855997327095,0.04429301533219762
60001906929,Dublin Elementary,37.714587,-121.936063,791.0,30.0,1,1,26.366666666666667,0.05278984296692282,0.06567291311754686
60001908443,James Dougherty Elementary,37.709946,-121.883879,1187.0,53.0,1,1,22.39622641509434,0.07925158703641831,0.05552698402494295
60001909273,Dublin High,37.719573,-121.925184,3370.0,137.0,3,1,24.598540145985403,0.2251252923488139,0.06115470224698144
60001909274,Valley High (Continuation),37.719573,-121.925184,49.0,4.0,3,4,12.25,0.003207484129635817,0.029599659284497447
60001909275,Frederiksen Elementary,37.71523,-121.922957,669.0,27.0,1,1,24.77777777777778,0.04463748747076512,0.06161272004542874
60001909276,Murray Elementary,37.721835,-121.932569,580.0,26.0,1,1,22.307692307692307,0.03869027731373204,0.05530074695321714
60001909278,Wells Middle,37.711839,-121.918954,999.0,46.0,2,1,21.717391304347824,0.06668894086201137,0.05379231168061625
60001912078,John Green Elementary,37.718702,-121.862542,671.0,30.0,1,1,22.366666666666667,0.04477113264283328,0.055451448040885865
60001912927,Harold William Kolb,37.712183,-121.85867,661.0,30.0,1,1,22.033333333333335,0.044102906782492485,0.054599659284497455
60001913169,Eleanor Murray Fallon,37.715686,-121.865887,1562.0,67.0,2,1,23.313432835820894,0.10431005679919814,0.057870782374329376
60001913862,J. M. Amador Elementary,37.718762,-121.843041,945.0,40.0,1,1,23.625,0.06308052121617107,0.05866695059625213
60001914338,Dublin Unified Transition Program,37.709742,-121.920907,22.0,2.0,3,2,11.0,0.0014032743067156697,0.026405451448040886
60001914370,Cottonwood Creek,37.709123,-121.847002,936.0,45.0,1,1,20.8,0.06247911794186435,0.05144804088586031
60002006951,Henry P. Mohr Elementary,37.692,-121.8606,586.0,25.0,1,1,23.44,0.03909121282993652,0.05819420783645657
60002008444,Thomas S. Hart Middle,37.6858,-121.897,1216.0,51.0,2,1,23.84313725490196,0.08118944203140661,0.05922437117947691
60002008445,Phoebe Apperson Hearst Elementary,37.6521,-121.8855,578.0,21.0,1,1,27.523809523809526,0.03855663214166388,0.06862983694329522
60002009279,Foothill High,37.6732,-121.9192,2202.0,91.0,3,1,24.197802197802197,0.14707651186100903,0.06013067001141959
60002009280,Village High,37.6558,-121.8749,102.0,10.0,3,4,10.2,0.006749081189442032,0.02436115843270869
60002009282,Amador Valley High,37.6684,-121.8751,2699.0,110.0,3,1,24.536363636363635,0.18028733711994654,0.06099581849155955
60002009283,Donlon Elementary,37.6843,-121.908,763.0,29.0,1,1,26.310344827586206,0.0509188105579686,0.06552899018974329
60002009284,Lydiksen Elementary,37.6807,-121.9206,616.0,27.0,1,1,22.814814814814813,0.04109589041095891,0.05659663070225251
60002009285,Alisal Elementary,37.6719,-121.8708,527.0,25.0,1,1,21.08,0.035148680253925826,0.052163543441226576
