ncessch,school_name,latitude,longitude,enrollment,teachers_fte,school_level,school_type,student_teacher_ratio,norm_enrollment,norm_student_teacher_ratio,total_athletes,norm_total_athletes
60003409465,Brooks Elementary,38.557335,-122.81228,497.0,20.0,1,1,24.85,0.0331440026729034,0.0617972742759795,-4.0,0.0
60003412585,Bridges Community Based School North County Consortium,38.549523,-122.814039,51.0,5.0,4,2,10.2,0.0033411293017039,0.0243611584327086,-4.0,0.0
60003414243,North Bay Met Academy,38.541241,-122.819815,67.0,6.0,4,4,11.166666666666666,0.0044102906782492,0.026831345826235,0.0,0.0017130620985010706
60003501547,Farmersville Junior High,36.3034,-119.2147,392.0,20.0,2,1,19.6,0.026127631139325,0.048381601362862,-4.0,0.0
60003501548,J. E. Hester Elementary,36.3015,-119.2023,355.0,17.0,1,1,20.88235294117647,0.0236551954560641,0.0516584828139092,-4.0,0.0
60003501549,George L. Snowden Elementary,36.2961,-119.208,379.0,17.0,1,1,22.294117647058822,0.025258937520882,0.0552660587233189,-4.0,0.0
60003507903,Farmersville High,36.3105,-119.2001,725.0,35.0,3,1,20.714285714285715,0.0483795522886735,0.0512290094913604,227.0,0.09892933618843683
60003508425,Deep Creek Academy,36.2968,-119.2076,57.0,3.0,3,4,19.0,0.0037420648179084,0.0468483816013628,-4.0,0.0
60003511532,Freedom Elementary,36.3075,-119.2018,555.0,20.0,2,1,27.75,0.03701971266288,0.0692078364565587,-4.0,0.0
60003601095,American Lakes,38.616983,-121.493524,619.0,28.0,1,1,22.107142857142858,0.0412963581690611,0.0547882696519834,-4.0,0.0
60003601108,Jefferson,38.621455,-121.50757,686.0,30.0,1,1,22.866666666666667,0.0457734714333444,0.0567291311754684,-4.0,0.0
60003601114,Bannon Creek,38.615621,-121.503714,458.0,24.0,1,1,19.08333333333333,0.0305379218175743,0.0470613287904599,-4.0,0.0
60003603755,Natomas High,38.628297,-121.494968,1203.0,56.0,3,1,21.482142857142858,0.0803207484129635,0.0531911657337551,291.0,0.12633832976445397
60003606335,Discovery High,38.633364,-121.494518,88.0,10.0,3,4,8.8,0.0058135649849649,0.0207836456558773,-4.0,0.0
60003608582,Natomas Middle,38.666516,-121.532348,619.0,38.0,2,1,16.289473684210527,0.0412963581690611,0.0399219940823096,-4.0,0.0
60003608583,Natomas Park Elementary,38.660606,-121.503071,648.0,29.0,1,1,22.344827586206897,0.0432342131640494,0.0553956411913293,-4.0,0.0
60003610359,Two Rivers Elementary,38.610368,-121.533663,596.0,27.0,1,1,22.074074074074076,0.0397594386902773,0.0547037667991671,-4.0,0.0
60003611084,Inderkum High,38.658372,-121.517194,2347.0,94.0,3,1,24.96808510638298,0.1567657868359505,0.0620990249737214,666.0,0.28693790149892934
60003611085,Witter Ranch Elementary,38.637041,-121.532391,587.0,28.0,1,1,20.964285714285715,0.0391580354159706,0.0518678510586517,-4.0,0.0
60003611087,Westlake Charter,38.67564,-121.526258,1129.0,52.0,4,1,21.71153846153846,0.0753758770464417,0.0537773555235224,-4.0,0.0
60003611734,Heron,38.667877,-121.511475,968.0,44.0,1,1,22.0,0.0646174406949549,0.0545144804088586,-4.0,0.0
60003611735,Natomas Pacific Pathways Prep,38.6551,-121.546082,632.0,30.0,3,1,21.066666666666663,0.0421650517875041,0.052129471890971,-4.0,0.0
60003612351,H. Allen Hight Elementary,38.666516,-121.532348,727.0,31.0,1,1,23.451612903225808,0.0485131974607417,0.0582238830576468,-4.0,0.0
60003612523,Natomas Pacific Pathways Prep Middle,38.6551,-121.546082,511.0,19.0,2,1,26.894736842105264,0.0340795188773805,0.0670223258316148,-4.0,0.0
60003613189,Leroy Greene Academy,38.610646,-121.527983,758.0,40.0,3,1,18.95,0.0505846976277982,0.0467206132879046,222.0,0.09678800856531049
60003614043,Natomas Pacific Pathways Prep Elementary,38.651228,-121.525268,401.0,16.0,1,1,25.0625,0.0267290344136318,0.0623402896081771,-4.0,0.0
60003614188,Paso Verde,38.662,-121.551529,786.0,37.0,1,1,21.24324324324324,0.0524557300367524,0.0525806897186795,-4.0,0.0
60003614537,Larry G. Meeks Academy,38.614697,-121.50315,416.0,12.0,1,1,34.666666666666664,0.027731373204143,0.0868824531516184,0.0,0.0017130620985010706
60003701550,Ferndale Elementary,40.577635,-124.267588,339.0,17.0,1,1,19.94117647058824,0.0225860340795188,0.049253432207636,-4.0,0.0
60003701551,Ferndale High,40.584884,-124.259977,137.0,12.0,3,1,11.416666666666666,0.0090878717006348,0.0274701873935264,149.0,0.06552462526766595
60003801994,Mattole Triple Junction High,40.321704,-124.285548,9.0,1.0,3,1,9.0,0.0005345806882726,0.0212947189097103,-4.0,0.0
60003803640,Mattole Elementary,40.321832,-124.285692,26.0,3.0,1,1,8.666666666666666,0.0016705646508519,0.0204429301533219,-4.0,0.0
60003809400,Honeydew Elementary,40.242112,-124.123462,6.0,1.0,1,1,6.0,0.0003341129301703,0.0136286201022146,-4.0,0.0
60003901212,El Capitan Elementary,37.435634,-120.772617,348.0,17.0,1,1,20.47058823529412,0.0231874373538255,0.0506062731736646,-4.0,0.0
60003901213,Schendel Elementary,37.428617,-120.779668,403.0,19.0,1,1,21.210526315789476,0.0268626795856999,0.0524970859858334,-4.0,0.0
60003907540,Delhi High,37.425574,-120.790532,779.0,33.0,3,1,23.60606060606061,0.0519879719345138,0.0586185535078209,275.0,0.11948608137044968
60003907541,Delhi Middle,37.425574,-120.790532,378.0,17.0,2,1,22.235294117647054,0.0251921149348479,0.0551157430604269,-4.0,0.0
60003910965,Harmony Elementary,37.420631,-120.78587,531.0,24.0,1,1,22.125,0.0354159705980621,0.0548339011925042,-4.0,0.0
60004005118,Riverdale Elementary,36.434383,-119.864022,516.0,26.0,2,1,19.846153846153847,0.0344136318075509,0.0490106145983488,-4.0,0.0
60004005119,Fipps Primary,36.426493,-119.855089,386.0,21.0,1,1,18.38095238095238,0.0257266956231206,0.0452664881966415,-4.0,0.0
60004005120,Riverdale High,36.431747,-119.855326,566.0,32.0,3,1,17.6875,0.0377547611092549,0.0434944633730834,395.0,0.1708779443254818
60004007830,Horizon High,36.431747,-119.855326,10.0,1.0,3,4,10.0,0.0006014032743067,0.0238500851788756,-4.0,0.0
60004205341,Warner Junior/Senior High,33.274332,-116.643105,92.0,8.0,3,1,11.5,0.0060808553291012,0.0276831345826235,51.0,0.02355460385438972
60004206844,Warner Elementary,33.274332,-116.643105,119.0,7.0,1,1,17.0,0.0078850651520213,0.0417376490630323,-4.0,0.0
60004306172,Brook Knoll Elementary,37.016813,-122.030966,438.0,18.0,1,1,24.33333333333333,0.0292014700968927,0.0604770017035775,-4.0,0.0
60004306173,Scotts Valley Middle,37.045178,-122.023593,486.0,23.0,2,1,21.130434782608692,0.0324089542265285,0.0522924227834975,-4.0,0.0
60004306174,Vine Hill Elementary,37.067851,-121.999236,521.0,22.0,1,1,23.681818181818183,0.0347477447377213,0.0588121418615456,-4.0,0.0
60004308369,Scotts Valley High,37.072378,-122.006485,734.0,35.0,3,1,20.97142857142857,0.0489809555629802,0.05188610367486,451.0,0.1948608137044968
60004402139,Healdsburg Elementary,38.613354,-122.861376,432.0,25.0,1,1,17.28,0.0288005345806882,0.0424531516183986,-4.0,0.0
60004402140,Healdsburg High,38.622851,-122.866869,517.0,29.0,3,1,17.82758620689655,0.034480454393585,0.0438524349409622,421.0,0.18201284796573877
60004402141,Healdsburg Junior High,38.616199,-122.86663,281.0,17.0,2,1,16.529411764705884,0.0187103240895422,0.0405351237598957,-4.0,0.0
60004406727,Marce Becerra Academy,38.622851,-122.866869,31.0,2.0,3,4,15.5,0.0020046775810223,0.0379045996592845,-4.0,0.0
60004507089,North Valley High (Continuation),39.755775,-122.191671,21.0,2.0,3,4,10.5,0.0013364517206815,0.0251277683134582,-4.0,0.0
60004507090,Orland High,39.751814,-122.191642,800.0,36.0,3,1,22.22222222222222,0.0533912462412295,0.0550823395797842,488.0,0.2107066381156317
60004507091,Fairview Elementary,39.739286,-122.183446,455.0,21.0,1,1,21.666666666666668,0.0303374540594721,0.0536626916524701,-4.0,0.0
60004507092,Mill Street Elementary,39.745216,-122.190812,490.0,24.0,1,1,20.416666666666668,0.0326762445706648,0.0504684838160136,-4.0,0.0
60004507093,Price Intermediate,39.741178,-122.192597,518.0,25.0,2,1,20.72,0.0345472769796191,0.051243611584327,-4.0,0.0
60004508484,Orland Community Day,39.756777,-122.191703,3.0,1.0,3,4,3.0,0.0001336451720681,0.0059625212947189,-4.0,0.0
60004607183,Gonzales High,36.511466,-121.441451,850.0,38.0,3,1,22.36842105263158,0.0567323755429335,0.0554559311396037,321.0,0.139186295503212
60004607184,Fairview Middle,36.509816,-121.440438,464.0,19.0,2,1,24.42105263157895,0.0309388573337788,0.0607011566394692,-4.0,0.0
60004607185,La Gloria Elementary,36.508431,-121.439024,867.0,37.0,1,1,23.43243243243243,0.0578683595055128,0.0581748699295547,-4.0,0.0
60004707371,Merrill F. West High,37.7482,-121.4471,2243.0,93.0,3,1,24.118279569892472,0.1498162378884062,0.0599274605704236,680.0,0.2929336188436831
60004707380,Tracy High,37.7409,-121.4194,1803.0,76.0,3,1,23.723684210526315,0.1204143000334112,0.0589191248991302,645.0,0.2779443254817987
60004707383,Central Elementary,37.742948,-121.427478,463.0,22.0,1,1,21.045454545454547,0.0308720347477447,0.0520752671519281,-4.0,0.0
60004707384,Monte Vista Middle,37.7486,-121.4368,724.0,41.0,2,1,17.658536585365855,0.0483127297026394,0.0434204512402875,-4.0,0.0
60004707387,McKinley Elementary,37.74637,-121.437517,432.0,18.0,1,1,24.0,0.0288005345806882,0.0596252129471891,-4.0,0.0
60004707390,North Elementary,37.7569,-121.4273,760.0,33.0,1,1,23.03030303030303,0.0507183427998663,0.0571472820195137,-4.0,0.0
